ProductKey,ProductName,Category,Subcategory,Brand,Price,UnitCost
1,NordicWear T-Shirt,Apparel,T-Shirt,NordicWear,91.57,46.81
2,GlowUp T-Shirt,Apparel,T-Shirt,GlowUp,25.35,12.06
3,GlowUp Jeans,Apparel,Jeans,GlowUp,74.95,34.32
4,NordicWear Jeans,Apparel,Jeans,NordicWear,20.31,10.32
5,GlowUp Jacket,Apparel,Jacket,GlowUp,71.74,45.12
6,NordicWear Jacket,Apparel,Jacket,NordicWear,87.15,48.36
7,CasaBella Sweater,Apparel,Sweater,CasaBella,99.04,44.73
8,UrbanEdge Sweater,Apparel,Sweater,UrbanEdge,98.64,61.6
9,UrbanEdge Dress,Apparel,Dress,UrbanEdge,27.1,18.68
10,GlowUp Dress,Apparel,Dress,GlowUp,47.03,22.25
11,NordicWear Sneakers,Footwear,Sneakers,NordicWear,103.22,62.03
12,UrbanEdge Sneakers,Footwear,Sneakers,UrbanEdge,98.78,62.47
13,GlowUp Boots,Footwear,Boots,GlowUp,117.04,63.74
14,NordicWear Boots,Footwear,Boots,NordicWear,70.72,46.49
15,GlowUp Sandals,Footwear,Sandals,GlowUp,73.51,46.03
16,UrbanEdge Sandals,Footwear,Sandals,UrbanEdge,15.04,7.62
17,UrbanEdge Heels,Footwear,Heels,UrbanEdge,104.08,69.38
18,NordicWear Heels,Footwear,Heels,NordicWear,51.81,29.19
19,UrbanEdge Watch,Accessories,Watch,UrbanEdge,50.72,25.48
20,EuroStyle Watch,Accessories,Watch,EuroStyle,39.37,26.94
21,NordicWear Bag,Accessories,Bag,NordicWear,68.76,35.15
22,EuroStyle Bag,Accessories,Bag,EuroStyle,60.85,31.49
23,GlowUp Belt,Accessories,Belt,GlowUp,85.31,56.37
24,EuroStyle Belt,Accessories,Belt,EuroStyle,95.36,48.37
25,NordicWear Hat,Accessories,Hat,NordicWear,54.13,25.25
26,UrbanEdge Hat,Accessories,Hat,UrbanEdge,110.44,65.36
27,UrbanEdge Candle,Home,Candle,UrbanEdge,82.1,45.07
28,EuroStyle Candle,Home,Candle,EuroStyle,110.6,62.46
29,UrbanEdge Mug,Home,Mug,UrbanEdge,37.13,21.92
30,EuroStyle Mug,Home,Mug,EuroStyle,38.9,23.19
31,GlowUp Towel,Home,Towel,GlowUp,49.82,34.84
32,CasaBella Towel,Home,Towel,CasaBella,25.22,14.46
33,NordicWear Blanket,Home,Blanket,NordicWear,26.81,13.14
34,GlowUp Blanket,Home,Blanket,GlowUp,84.85,50.83
35,CasaBella Perfume,Beauty,Perfume,CasaBella,75.55,42.84
36,GlowUp Perfume,Beauty,Perfume,GlowUp,37.66,22.16
37,NordicWear Lotion,Beauty,Lotion,NordicWear,84.99,49.65
38,GlowUp Lotion,Beauty,Lotion,GlowUp,39.35,24.01
39,NordicWear Soap,Beauty,Soap,NordicWear,57.82,32.58
40,UrbanEdge Soap,Beauty,Soap,UrbanEdge,114.92,76.88
41,UrbanEdge Shampoo,Beauty,Shampoo,UrbanEdge,65.84,31.38
42,EuroStyle Shampoo,Beauty,Shampoo,EuroStyle,78.78,52.03
